Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,BAO Format ID,BAO Label,Assay Organism,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4070669,,456.63,1.0,5.34,CN(C)CCNC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,Ki,'=',0.35,nM,9.46,20.71,0.38,4.12,17.99,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4011648,1,Scientific Literature,J Med Chem,2017.0,,,,,0.35
CHEMBL4081969,,455.64,1.0,6.97,CCCCCNC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,Ki,'=',0.74,nM,9.13,20.04,0.37,2.16,18.51,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4011648,1,Scientific Literature,J Med Chem,2017.0,,,,,0.74
CHEMBL4098232,,444.57,1.0,5.59,O=C(/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1)OCCCO,Ki,'=',0.71,nM,9.15,20.58,0.38,3.56,13.7,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4011648,1,Scientific Literature,J Med Chem,2017.0,,,,,0.71
CHEMBL4072205,,498.71,1.0,8.42,CC(C)CCCCCOC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,Ki,'=',7.1,nM,8.15,16.34,0.3,-0.27,17.51,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4011648,1,Scientific Literature,J Med Chem,2017.0,,,,,7.1
CHEMBL1573401,,400.39,0.0,3.33,COC(=O)c1ccc(CSc2nc(O)c3cnn(-c4ccc(F)cc4)c3n2)o1,EC50,'=',12912.58,nM,4.89,12.21,0.24,1.56,4.73,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,,,,,12.91258
CHEMBL1525298,DIETHYLSTILBESTROL DIPROPIONATE,380.48,1.0,6.05,CCC(=O)Oc1ccc(/C(CC)=C(\CC)c2ccc(OC(=O)CC)cc2)cc1,EC50,'=',18131.41,nM,4.74,12.46,0.23,-1.31,9.01,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,,,,,18.13141
CHEMBL3805921,,489.64,1.0,6.76,CCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,IC50,'=',61.0,nM,7.21,14.73,0.28,0.45,9.16,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3804822,1,Scientific Literature,Bioorg Med Chem,2016.0,,,,,61.0
CHEMBL3657137,,470.61,1.0,6.24,COc1ccc2c(c1)c(C)c(-c1ccc(O)cc1)n2Cc1ccc(OCCN2CCCCC2)cc1,IC50,'=',350.0,nM,6.46,13.72,0.25,0.22,13.78,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,350.0
CHEMBL3657139,,484.64,1.0,6.55,COc1ccc(-c2c(C)c3cc(OC)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',600.0,nM,6.22,12.84,0.24,-0.33,17.35,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,600.0
CHEMBL3657141,,484.64,1.0,6.63,CCOc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,IC50,'=',62.0,nM,7.21,14.87,0.27,0.58,15.38,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,62.0
CHEMBL3657146,,500.68,2.0,7.36,CCCCN(CCCC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,IC50,'=',200.0,nM,6.7,13.38,0.25,-0.66,11.58,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,200.0
CHEMBL3657166,,462.98,1.0,5.9,Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCC3)cc2)cc1,IC50,'=',4.0,nM,8.4,18.14,0.35,2.5,14.51,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,4.0
CHEMBL3657168,,491.03,1.0,6.68,Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCCC3)cc2)cc1,IC50,'=',29.0,nM,7.54,15.35,0.29,0.86,13.03,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,29.0
CHEMBL3657170,,470.61,1.0,6.19,CCc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,IC50,'=',150.0,nM,6.82,14.5,0.27,0.63,11.79,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,150.0
CHEMBL3657174,,486.61,1.0,5.95,COc1cc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)ccc1OCCN1CCCCC1,IC50,'=',80.0,nM,7.1,14.58,0.27,1.15,10.58,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL3639280,37,BindingDB Patent Bioactivity Data,,2014.0,,,,,80.0
CHEMBL83,TAMOXIFEN,371.52,1.0,6.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,IC50,'=',222.0,nM,6.65,17.91,0.32,0.65,53.36,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL4251582,1,Scientific Literature,Eur J Med Chem,2018.0,,,,,222.0
CHEMBL180873,,548.66,2.0,6.48,Cc1cccc(C(=O)N2CCN(c3ccc(C(=O)c4c(-c5ccc(O)cc5)sc5cc(O)ccc45)cc3)CC2)c1,IC50,'=',0.27,nM,9.57,17.44,0.33,3.09,11.8,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141904,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,0.27
CHEMBL1392657,,458.52,0.0,3.71,CCOc1ccccc1N1C(=O)NC(=O)C(CCc2ccncc2)(CCc2ccncc2)C1=O,EC50,'=',12726.94,nM,4.89,10.68,0.2,1.19,4.82,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,,,,,12.72694
CHEMBL3189771,,365.42,0.0,4.0,Cc1ccc(-c2nnc(S)n2/N=C/C=C/c2ccccc2[N+](=O)[O-])cc1,EC50,'=',6520.73,nM,5.19,14.19,0.27,1.19,6.02,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,,,,,6.52073
CHEMBL183086,,477.63,1.0,6.32,CC[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1,IC50,'=',1.2,nM,8.92,18.68,0.36,2.6,14.35,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1144457,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1.2
CHEMBL319678,,463.02,1.0,5.85,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,IC50,'=',2897,nM,8.54,18.44,0.35,2.69,23.76,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141983,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,2538
CHEMBL1576191,,339.37,0.0,3.15,COc1cccc(C2CC(c3ccc(F)cc3)Nc3nc(N)nn32)c1,EC50,'=',6709.28,nM,5.17,15.24,0.28,2.02,6.63,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1201862,7,PubChem BioAssays,,,,,,,6.70928
CHEMBL314561,,469.58,1.0,6.86,Cc1c(-c2ccc(O)cc2)oc(-c2ccc(O)cc2)c1-c1ccc(OCCN2CCCCC2)cc1,Ki,'=',32.0,nM,7.5,15.96,0.29,0.63,11.34,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1133963,1,Scientific Literature,Bioorg Med Chem Lett,2001.0,,,,,32.0
CHEMBL44,GENISTEIN,270.24,0.0,2.58,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,'=',1973.0,nM,5.71,21.11,0.39,3.12,6.28,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146098,1,Scientific Literature,J Med Chem,2006.0,,,,,1973.0
CHEMBL213337,,282.38,0.0,4.12,CC[C@@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,IC50,'=',146.0,nM,6.84,24.21,0.44,2.72,18.33,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149514,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,146.0
CHEMBL212456,,242.32,0.0,3.48,CC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2,IC50,'=',1210.0,nM,5.92,24.42,0.45,2.44,15.86,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149514,1,Scientific Literature,Bioorg Med Chem Lett,2006.0,,,,,1210.0
CHEMBL214972,,382.46,1.0,5.16,O=C1CCC2(Cc3ccccc3)Cc3cc(O)ccc3C2=C1c1ccc(O)cc1,IC50,'=',220.0,nM,6.66,17.41,0.31,1.5,11.57,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149487,1,Scientific Literature,J Med Chem,2006.0,,,,,220.0
CHEMBL44,GENISTEIN,270.24,0.0,2.58,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,IC50,'=',395.0,nM,6.4,23.7,0.44,3.82,7.04,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146346,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,395.0
CHEMBL232023,,284.29,0.0,3.59,Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)c(F)c1,IC50,'=',298.0,nM,6.53,22.95,0.42,2.94,11.3,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146346,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,298.0
CHEMBL232022,,252.27,0.0,3.14,O/N=C/c1cn(-c2ccc(O)cc2)c2ccccc12,IC50,'=',1905.0,nM,5.72,22.67,0.41,2.58,9.9,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1146346,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,1905.0
CHEMBL319211,,446.57,1.0,5.33,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(F)c1,IC50,'=',38.99,nM,7.41,16.59,0.31,2.08,20.62,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1141983,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1409
CHEMBL365290,,240.26,0.0,3.82,Cc1cc(O)cc2cc(-c3ccc(O)cc3)oc12,IC50,'=',114.0,nM,6.94,28.9,0.53,3.12,12.95,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1137038,1,Scientific Literature,Bioorg Med Chem Lett,2004.0,,,,,114.0
CHEMBL2113002,,459.59,1.0,5.98,C[C@H](CN1CCCC1)Oc1ccc([C@@H]2Oc3ccc(O)cc3[C@@H](C)[C@@H]2c2ccc(O)cc2)cc1,IC50,'=',1.5,nM,8.82,19.2,0.35,2.84,14.2,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1142044,1,Scientific Literature,Bioorg Med Chem Lett,2005.0,,,,,1.5
CHEMBL398841,,326.48,0.0,3.84,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C=C)[C@H]3CC[C@@]21C,IC50,'=',150.0,nM,6.82,20.9,0.39,2.98,16.87,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1140529,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,150.0
CHEMBL399832,,296.37,0.0,4.42,Cc1cc(O)cc2c1O[C@@H](c1ccc(O)cc1)[C@H]1CCC[C@@H]21,Ki,'=',2.82,nM,8.55,28.85,0.53,4.13,17.21,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149686,1,Scientific Literature,Bioorg Med Chem Lett,2007.0,,,,,2.82
CHEMBL385514,,346.47,1.0,5.48,CCCCC1=C2c3ccc(O)cc3CC2(Cc2ccccc2)CCC1=O,IC50,'=',260.0,nM,6.58,19.01,0.35,1.11,17.65,BAO_0000357,single protein format,Homo sapiens,CHEMBL206,Estrogen receptor,Homo sapiens,SINGLE PROTEIN,CHEMBL1149487,1,Scientific Literature,J Med Chem,2006.0,,,,,260.0
