Smiles,pChEMBL Value,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,stereo_centers,tpsa,HydrationFreeEnergy_FreeSolv,Solubility_AqSolDB
CN(C)CCNC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,9.46,456.6300000000002,5.341200000000006,3,2,0,52.57000000000001,-15.091191,-5.8022084
CCCCCNC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,9.13,455.6420000000002,6.969800000000008,2,2,0,49.33,-11.497192,-6.759495
O=C(/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1)OCCCO,9.15,444.5710000000002,5.5890000000000075,4,2,0,66.76,-12.700566,-6.1484375
CC(C)CCCCCOC(=O)/C=C/c1ccc(C(=C2C3CC4CC(C3)CC2C4)c2ccc(O)cc2)cc1,8.15,498.70700000000033,8.423000000000005,3,1,0,46.53,-8.385195,-7.1121016
COC(=O)c1ccc(CSc2nc(O)c3cnn(-c4ccc(F)cc4)c3n2)o1,4.89,400.3910000000001,3.3321000000000014,8,1,0,103.27000000000001,-10.742795,-4.8196816
CCC(=O)Oc1ccc(/C(CC)=C(\CC)c2ccc(OC(=O)CC)cc2)cc1,4.74,380.4840000000001,6.048200000000006,4,0,0,52.6,-6.268308,-6.456691
CCCCCCNCCOc1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,7.21,489.63700000000017,6.759200000000007,6,3,0,78.79,-15.428377,-5.164254
COc1ccc2c(c1)c(C)c(-c1ccc(O)cc1)n2Cc1ccc(OCCN2CCCCC2)cc1,6.46,470.61300000000045,6.243920000000007,4,1,0,46.86000000000001,-13.535962,-5.1312137
COc1ccc(-c2c(C)c3cc(OC)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,6.22,484.6400000000004,6.546920000000006,4,0,0,35.86000000000001,-10.554404,-5.690702
CCOc1ccc(-c2c(C)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCC3)cc2)cc1,7.21,484.6400000000004,6.634020000000008,4,1,0,46.86000000000001,-13.353554,-5.1200094
CCCCN(CCCC)CCOc1ccc(Cn2c(-c3ccc(O)cc3)c(C)c3cc(O)ccc32)cc1,6.7,500.68300000000016,7.35722000000001,4,2,0,57.86,-15.573682,-4.8367567
Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCC3)cc2)cc1,8.4,462.9770000000004,5.895800000000006,4,2,0,57.86000000000001,-16.126078,-4.693161
Oc1ccc(-c2c(Cl)c3cc(O)ccc3n2Cc2ccc(OCCN3CCCCCC3)cc2)cc1,7.54,491.03100000000046,6.676000000000006,4,2,0,57.86000000000001,-15.892657,-4.801162
CCc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc12,6.82,470.6130000000003,6.194900000000006,4,2,0,57.86,-15.831655,-4.621319
