k,cv_r2_mean,cv_r2_std
1,-0.07218821471306629,0.1413758535785206
2,-0.012123315651509614,0.21149382358132582
3,-0.04350945428454052,0.32655504420513254
4,-0.012360035677450476,0.29270726738492464
5,-0.002504723668519704,0.28294178288624716
6,-0.03228278080993918,0.25522099106078905
7,-0.07166006044532222,0.25511073572430215
8,-0.10816745588815453,0.23489118535920003
9,-0.14274893081389295,0.2314443251976117
10,-0.17504832670258674,0.23010140309802643
11,-0.20635282188623177,0.22365523040418445
12,-0.22933306988064012,0.2259527098286694
13,-0.24530870890525008,0.22647309407822244
14,-0.2599802974271882,0.23329791159527324
15,-0.264970510921514,0.23229781949364006
16,-0.2643340263779528,0.22764828214465985
17,-0.26084836308335785,0.21873271309707637
18,-0.25353409929986026,0.20542572678136828
19,-0.2496481559966528,0.19474140661628367
20,-0.24638875027130233,0.18110180184582836
21,-0.2411418291273506,0.17592587536706178
22,-0.2375231281401185,0.16959159810546195
23,-0.23952233104991344,0.16483564400275097
24,-0.2361299218078766,0.15635542258696766
25,-0.23374895021555178,0.15012884880094451
26,-0.23582636973056684,0.14373134057260986
27,-0.2347050842895401,0.1384948380924405
28,-0.23797011437457077,0.13271994649553734
29,-0.24044311766432855,0.1263697576956363
30,-0.24622593887395397,0.12453066972226423
