k,cv_r2_mean,cv_r2_std
1,0.17227922041788216,0.06382729003160392
2,0.1551195208813891,0.16737573426877966
3,0.22347925941449276,0.20470874752259674
4,0.31417356059051654,0.18152462027847965
5,0.38407283704797274,0.1651319310710294
6,0.4191028008558856,0.1546733316291777
7,0.4479577219498846,0.14113415093617504
8,0.4662004211228458,0.12291367083564092
9,0.4701289366479444,0.11456749088839607
10,0.46936206805425956,0.10610349140624128
11,0.46414564662462554,0.09802557736832197
12,0.4564843531401266,0.09364765903350435
13,0.448348809748026,0.09007121386279862
14,0.44139702011684606,0.08824237416162449
15,0.42783423897297174,0.08881019462510165
16,0.41667845072941356,0.08896381096287642
17,0.402617343641252,0.0901099374424191
18,0.3913220908571258,0.09094141796293435
19,0.3784748232169715,0.09268606086256784
20,0.3674073445285956,0.09342168909493412
21,0.35150485051335645,0.09715671986687087
22,0.33972635286513153,0.09900425167166436
23,0.32844033173291626,0.10127004486828925
24,0.31900370163363434,0.10212464107684388
25,0.30998329878820663,0.10366188572128446
26,0.30062127347752005,0.10430260890291021
27,0.29155455003246383,0.10477304892963078
28,0.285157257336408,0.10579491104813209
29,0.2770895625111002,0.10657941229209769
30,0.2711711459370035,0.10576268753670484
