Feature,MeanAbsSHAP
logP,0.43941155
Bit_1313,0.29420638
Bit_381,0.18710002
Bit_119,0.07961606
HydrationFreeEnergy_FreeSolv,0.072691366
stereo_centers,0.06805687
tpsa,0.05310487
hydrogen_bond_donors,0.052388277
Bit_31,0.04163023
Solubility_AqSolDB,0.040997654
molecular_weight,0.039851237
Bit_1783,0.038544558
Bit_1564,0.03728682
Bit_378,0.036486298
hydrogen_bond_acceptors,0.033700813
Bit_455,0.027838713
Bit_1073,0.026427533
Bit_745,0.026101012
Bit_162,0.023698715
Bit_1778,0.021365942
Bit_650,0.020713838
Bit_680,0.02061514
Bit_252,0.017938409
Bit_1475,0.017593523
Bit_656,0.017345112
Bit_1052,0.016225481
Bit_1602,0.015224752
Bit_1917,0.014294272
Bit_935,0.014241609
Bit_314,0.014041093
Bit_1712,0.013164367
Bit_2035,0.013064691
Bit_504,0.012936414
Bit_898,0.0129004475
Bit_1928,0.012680426
Bit_1373,0.012064354
Bit_1911,0.011314644
Bit_970,0.011150011
Bit_1292,0.010921215
Bit_484,0.010781692
Bit_571,0.010649245
Bit_1391,0.010408862
Bit_926,0.010370801
Bit_1697,0.010021215
Bit_1114,0.009791906
Bit_903,0.009751569
Bit_1745,0.00974735
Bit_1308,0.009418642
Bit_25,0.009108683
Bit_13,0.009056759
Bit_45,0.0088393055
Bit_1832,0.008757891
Bit_1160,0.008504572
Bit_1754,0.008478846
Bit_525,0.00835875
Bit_1648,0.007954201
Bit_305,0.0077915615
Bit_896,0.007054872
Bit_1385,0.0069155735
Bit_1607,0.0068942984
Bit_203,0.006497499
Bit_1482,0.0062319827
Bit_1737,0.0061812666
Bit_1163,0.0060296734
Bit_2,0.006005527
Bit_646,0.005774277
Bit_1108,0.0056707743
Bit_294,0.005634379
Bit_713,0.005529856
Bit_9,0.0054548564
Bit_1476,0.0054351273
Bit_1888,0.0053578215
Bit_1803,0.0053165182
Bit_408,0.0052899104
Bit_1168,0.00528244
Bit_804,0.0052677696
Bit_54,0.005229147
Bit_522,0.0051563527
Bit_1538,0.005133769
Bit_1980,0.005023205
Bit_1582,0.005017683
Bit_394,0.0050061834
Bit_473,0.0049613384
Bit_875,0.004875223
Bit_1468,0.00480211
Bit_734,0.004714395
Bit_783,0.0046164165
Bit_38,0.0046128873
Bit_1722,0.004567808
Bit_852,0.004549917
Bit_231,0.004542047
Bit_1309,0.0044647
Bit_80,0.0044258186
Bit_1233,0.004408186
Bit_289,0.0042846156
Bit_2007,0.004257966
Bit_304,0.004223508
Bit_1775,0.0041553765
Bit_695,0.0041138637
Bit_736,0.0041072434
Bit_1057,0.0040930496
Bit_841,0.0039687427
Bit_1696,0.0039627915
Bit_694,0.0039102947
Bit_1181,0.0039024057
Bit_1157,0.0038539711
Bit_1039,0.0038107308
Bit_567,0.00380093
Bit_1536,0.0037952468
Bit_389,0.003773802
Bit_1855,0.0037732918
Bit_1915,0.0037732725
Bit_1017,0.0036926277
Bit_1453,0.0036891035
Bit_835,0.003688067
Bit_1420,0.003625166
Bit_1357,0.0035907486
Bit_116,0.0035860345
Bit_1458,0.0035756917
Bit_1053,0.0035202818
Bit_1142,0.0035176282
Bit_1750,0.0035041731
Bit_750,0.0035009552
Bit_222,0.0034858787
Bit_1960,0.0034129487
Bit_1199,0.003363349
Bit_218,0.003322356
Bit_1236,0.0031993021
Bit_202,0.0031979447
Bit_1035,0.003191787
Bit_1064,0.0031443646
Bit_828,0.0031116372
Bit_63,0.0031110207
Bit_1019,0.0030557718
Bit_1027,0.003051934
Bit_114,0.003051314
Bit_1130,0.0030499098
Bit_322,0.003031272
Bit_1028,0.0030043176
Bit_2034,0.0030016562
Bit_801,0.0029562926
Bit_1,0.002931925
Bit_533,0.002911352
Bit_1410,0.002869055
Bit_675,0.0028208832
Bit_1618,0.0028066295
Bit_1770,0.0027370118
Bit_1152,0.0027367482
Bit_471,0.0026638077
Bit_881,0.002660602
Bit_1136,0.0026363914
Bit_416,0.0026271364
Bit_1171,0.0025725646
Bit_1285,0.0025469207
Bit_837,0.0025440473
Bit_133,0.002536725
Bit_1444,0.0025353704
Bit_988,0.002526058
