Feature,Importance
Bit_1313,0.015953215
Bit_455,0.01440654
Bit_1073,0.011429388
Bit_646,0.010986124
Bit_381,0.010042901
Bit_745,0.009504378
Bit_1052,0.0090057505
Bit_96,0.008321373
Bit_1942,0.008320583
Bit_1745,0.0076320693
Bit_119,0.007521633
Bit_726,0.0073186904
Bit_1094,0.0067750695
Bit_1027,0.0063157217
Bit_1864,0.0060003973
Bit_1783,0.005877471
Bit_31,0.0058440133
Bit_162,0.0058214474
Bit_1712,0.005751753
Bit_944,0.0054721925
Bit_1941,0.005428441
Bit_1393,0.0053830687
Bit_328,0.005322337
Bit_1815,0.0051348796
Bit_721,0.004769427
Bit_1035,0.0044321897
Bit_823,0.0042213853
Bit_2035,0.004131973
Bit_1564,0.0037886424
Bit_952,0.0036552416
Bit_1602,0.0036376126
Bit_1660,0.0036256423
Bit_1185,0.0036118214
Bit_52,0.0034506875
Bit_1373,0.0034392634
Bit_1973,0.0033470297
Bit_1898,0.0033296833
Bit_2033,0.003269298
Bit_1832,0.0032168
Bit_1926,0.003216724
Bit_870,0.0031947081
Bit_704,0.003159131
Bit_1696,0.0031281547
Bit_1509,0.003069605
Bit_878,0.0029847473
Bit_898,0.0029260325
Bit_408,0.0029181852
Bit_504,0.002886066
Bit_314,0.002836535
logP,0.0028082835
Bit_949,0.0027976953
Bit_903,0.002760696
Bit_835,0.0027519213
Bit_378,0.002751853
Bit_1499,0.0027216685
Bit_845,0.0027106076
Bit_532,0.0027070455
Bit_977,0.002671991
Bit_272,0.0025581683
Bit_141,0.0025579599
Bit_416,0.0025487465
Bit_1309,0.002522689
Bit_529,0.0024947755
Bit_1308,0.0024681063
Bit_1639,0.0024456268
stereo_centers,0.0024446219
Bit_1034,0.0024332642
Bit_1912,0.0024230431
Bit_713,0.002416219
Bit_186,0.0023888266
Bit_1256,0.002378356
Bit_1760,0.0023703007
Bit_1659,0.0023462751
Bit_905,0.0023129587
Bit_2007,0.0023127515
Bit_850,0.00230172
Bit_1582,0.00229426
Bit_170,0.0022654715
Bit_1299,0.00225559
Bit_836,0.0022413475
Bit_1292,0.0022162818
Bit_1761,0.0021972654
Bit_1239,0.0021679378
