number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.7320435843315904,2026-06-16 11:10:27.586479,2026-06-16 11:10:30.025189,0 days 00:00:02.438710,0.7984858279173519,4.388101543084801,0.06653948566729201,4,4,250,0.01876757307475012,2.0938586504122485,0.6226382914842815,COMPLETE
1,0.7269884369035595,2026-06-16 11:10:30.026123,2026-06-16 11:10:32.982661,0 days 00:00:02.956538,0.6106049085953009,4.870463340879167,0.042481092365883176,6,10,646,1.4136289119663998e-08,0.813592201890995,0.9891786310570548,COMPLETE
2,0.7439307609785714,2026-06-16 11:10:32.983569,2026-06-16 11:10:36.063565,0 days 00:00:03.079996,0.6690519753979296,3.6599868167279572,0.11727100964494362,11,11,580,4.925672812217333e-06,0.23649887675865158,0.7297048194207207,COMPLETE
3,0.7372324527065638,2026-06-16 11:10:36.064356,2026-06-16 11:10:37.732785,0 days 00:00:01.668429,0.6744254902422868,4.3444687354761795,0.10889851493745338,6,2,201,0.00047117564539684036,1.833263498312894e-06,0.8947561495404521,COMPLETE
4,0.7655657237828667,2026-06-16 11:10:37.733715,2026-06-16 11:10:40.150650,0 days 00:00:02.416935,0.6597041092230163,0.2837772815945194,0.02906573738189273,10,8,468,2.1582559793240213e-07,1.3505962290365591e-05,0.8620363923074464,COMPLETE
5,0.7693563320699768,2026-06-16 11:10:40.153613,2026-06-16 11:10:47.038398,0 days 00:00:06.884785,0.8170172551220709,0.3421817064896132,0.0061473211900146445,12,2,651,0.1358349489157275,0.0002103232476400571,0.5543213932591313,COMPLETE
6,0.7492905815882847,2026-06-16 11:10:47.041342,2026-06-16 11:10:49.958276,0 days 00:00:02.916934,0.8494680866720099,1.6137094081004388,0.013478270434368429,4,1,906,1.1990412037991766e-08,3.125185904026253e-05,0.8889058989044434,COMPLETE
7,0.7512417097168671,2026-06-16 11:10:49.961296,2026-06-16 11:10:52.135096,0 days 00:00:02.173800,0.6194573387274755,3.2468598357150724,0.021067251998152712,8,9,735,0.00879887708291158,0.0727665587473093,0.5609541549308158,COMPLETE
8,0.7363501096877051,2026-06-16 11:10:52.136144,2026-06-16 11:10:54.450964,0 days 00:00:02.314820,0.8632115258184261,4.29387265123821,0.02979684261691268,10,12,869,6.119173377811718e-06,0.0519141717274234,0.822582939939071,COMPLETE
9,0.705541613125628,2026-06-16 11:10:54.454362,2026-06-16 11:10:57.341095,0 days 00:00:02.886733,0.8894147566086943,1.918074821939499,0.004254344674398774,4,7,673,0.002053017835322545,0.12994501649209794,0.9820565835706773,COMPLETE
